Formats, Percents, Profit after 1000 bets (in $)
BO1,0%-16%,3813
BO1,0%-18%,3497
BO1,0%-15%,3390
BO1,0%-14%,3317
BO1,0%-13%,3308
BO1,0%-17%,3213
BO1,0%-21%,2974
BO1,0%-19%,2923
BO1,0%-20%,2723
BO1,0%-8%,2359
BO1,0%-9%,2159
BO1,0%-49%,1968
BO1,0%-50%,1968
BO1,0%-12%,1963
BO1,0%-22%,1831
BO1,0%-10%,1759
BO1,0%-48%,1757
BO1,0%-11%,1659
BO1,0%-47%,1642
BO1,0%-42%,1608
BO1,0%-6%,1545
BO1,0%-7%,1545
BO1,0%-43%,1469
BO1,0%-31%,1468
BO1,0%-40%,1289
BO1,0%-44%,1247
BO1,0%-45%,1234
BO1,0%-41%,1230
BO5-BO3-BO,0%-50%,1136
BO1,0%-30%,1102
BO1,0%-25%,1068
BO1,0%-26%,1032
BO1,0%-33%,1002
BO1,0%-46%,963
BO5-BO3-BO,0%-8%,959
BO1,0%-29%,933
BO1,0%-34%,881
BO1,0%-23%,862
BO1,0%-39%,796
BO5-BO3-BO,0%-6%,745
BO1,0%-32%,700
BO5,0%-26%,672
BO5,0%-27%,672
BO5,0%-28%,672
BO5-BO3-BO,0%-49%,638
BO1,0%-28%,576
BO5,0%-29%,572
BO5,0%-49%,499
BO5,0%-50%,499
BO5,0%-30%,472
BO5-BO3-BO,0%-9%,459
BO5-BO3-BO,0%-7%,445
BO5,0%-41%,398
BO5,0%-42%,398
BO5,0%-43%,398
BO5,0%-44%,398
BO5,0%-45%,398
BO5,0%-46%,398
BO5,0%-47%,398
BO5,0%-48%,398
BO5,0%-31%,372
BO5,0%-32%,372
BO5,0%-33%,372
BO5,0%-35%,356
BO5-BO3-BO,0%-48%,326
BO1,0%-38%,320
BO1,0%-27%,296
BO1,0%-24%,284
BO5,0%-34%,272
BO5-BO3-BO,0%-13%,267
BO5-BO,85%-100%,241
BO5-BO,88%-100%,239
BO3,88%-100%,231
BO5,0%-39%,213
BO5,0%-40%,213
BO3,85%-100%,201
BO5-BO,86%-100%,164
BO5,0%-36%,156
BO5,0%-37%,156
BO1,0%-35%,150
BO5-BO,89%-100%,149
BO5-BO,84%-100%,146
BO3,89%-100%,141
BO3,86%-100%,135
BO5-BO,90%-100%,115
BO5,0%-25%,107
BO3,90%-100%,107
BO5-BO3-BO,0%-47%,104
BO5-BO,87%-100%,97
BO5,81%-100%,96
BO5,82%-100%,96
BO5,83%-100%,96
BO5,84%-100%,96
BO3,84%-100%,94
BO3,87%-100%,89
BO5,85%-100%,60
BO5-BO,91%-100%,60
BO3,91%-100%,60
BO5,0%-38%,56
BO5,86%-100%,49
BO5-BO3-BO,88%-100%,48
BO3,80%-100%,47
BO5-BO,92%-100%,39
BO3,92%-100%,39
BO5-BO,93%-100%,27
BO3,93%-100%,27
BO5-BO3-BO,89%-100%,22
BO5-BO,94%-100%,18
BO3,94%-100%,18
BO1,0%-37%,14
BO5,87%-100%,8
BO5,88%-100%,8
BO5,89%-100%,8
BO5,90%-100%,8
BO5-BO,82%-100%,1
BO5,0%-5%,0
BO1,0%-5%,0
BO5,0%-6%,0
BO5,0%-7%,0
BO5,0%-8%,0
BO5,0%-9%,0
BO5,91%-100%,0
BO5,92%-100%,0
BO5,93%-100%,0
BO5,94%-100%,0
BO5-BO,80%-100%,-1
BO5-BO,81%-100%,-1
BO5,78%-100%,-4
BO5,79%-100%,-4
BO5,80%-100%,-4
BO5-BO3-BO,0%-42%,-14
BO5-BO,83%-100%,-16
BO5-BO3-BO,90%-100%,-20
BO3,82%-100%,-51
BO3,81%-100%,-53
BO3,83%-100%,-68
BO5-BO3-BO,93%-100%,-70
BO5-BO3-BO,94%-100%,-79
BO1,93%-100%,-97
BO1,94%-100%,-97
BO5,0%-10%,-100
BO5,0%-11%,-100
BO5,0%-12%,-100
BO5,0%-13%,-100
BO5,76%-100%,-104
BO5,77%-100%,-104
BO5-BO3-BO,91%-100%,-107
BO1,89%-100%,-127
BO1,90%-100%,-135
BO5-BO3-BO,92%-100%,-142
BO1,91%-100%,-167
BO5-BO3-BO,0%-45%,-168
BO1,92%-100%,-181
BO5,62%-100%,-182
BO5,0%-23%,-190
BO5,0%-24%,-190
BO1,88%-100%,-191
BO5-BO3-BO,0%-43%,-192
BO1,0%-36%,-198
BO5,75%-100%,-204
BO5,63%-100%,-243
BO5,64%-100%,-243
BO5,60%-100%,-282
BO5,61%-100%,-282
BO5-BO3-BO,85%-100%,-284
BO5,66%-100%,-307
BO5-BO3-BO,86%-100%,-316
BO3,75%-100%,-321
BO5,67%-100%,-334
BO5,68%-100%,-334
BO5,69%-100%,-334
BO5-BO3-BO,87%-100%,-335
BO5-BO3-BO,0%-44%,-336
BO3,79%-100%,-346
BO3,76%-100%,-347
BO5,65%-100%,-353
BO5,70%-100%,-359
BO5,71%-100%,-382
BO3,74%-100%,-384
BO5-BO,79%-100%,-394
BO5,72%-100%,-404
BO5,73%-100%,-404
BO5,74%-100%,-404
BO5,52%-100%,-412
BO5,53%-100%,-412
BO5,54%-100%,-412
BO5,55%-100%,-412
BO5,56%-100%,-412
BO5,57%-100%,-412
BO5,58%-100%,-412
BO5,59%-100%,-412
BO1,87%-100%,-432
BO1,76%-100%,-468
BO1,86%-100%,-470
BO3,77%-100%,-481
BO5-BO,76%-100%,-495
BO5-BO3-BO,0%-5%,-500
BO5-BO,0%-5%,-500
BO3,0%-5%,-500
BO5,0%-14%,-500
BO5-BO3-BO,0%-46%,-507
BO5-BO3-BO,0%-17%,-511
BO5,50%-100%,-512
BO5,51%-100%,-512
BO5,0%-20%,-513
BO5,0%-21%,-513
BO5,0%-22%,-513
BO1,85%-100%,-515
BO5-BO3-BO,84%-100%,-521
BO1,77%-100%,-530
BO3,78%-100%,-568
BO5-BO,75%-100%,-569
BO1,83%-100%,-573
BO5-BO3-BO,0%-16%,-586
BO5,0%-15%,-600
BO5-BO3-BO,83%-100%,-611
BO5-BO,78%-100%,-616
BO5-BO3-BO,0%-14%,-620
BO5-BO3-BO,0%-21%,-622
BO5-BO,77%-100%,-629
BO5-BO3-BO,0%-10%,-641
BO1,84%-100%,-645
BO1,78%-100%,-651
BO1,81%-100%,-655
BO3,73%-100%,-660
BO1,80%-100%,-668
BO5-BO3-BO,0%-18%,-677
BO5-BO3-BO,81%-100%,-678
BO5-BO3-BO,80%-100%,-691
BO1,82%-100%,-695
BO5-BO3-BO,82%-100%,-716
BO5-BO3-BO,0%-41%,-744
BO1,73%-100%,-768
BO1,79%-100%,-791
BO1,75%-100%,-793
BO5-BO,0%-6%,-800
BO3,0%-6%,-800
BO5-BO,74%-100%,-832
BO3,72%-100%,-864
BO5-BO,0%-50%,-875
BO1,74%-100%,-875
BO5,0%-16%,-900
BO5,0%-17%,-900
BO5,0%-18%,-900
BO5,0%-19%,-900
BO5-BO3-BO,76%-100%,-985
BO5-BO3-BO,0%-40%,-997
BO1,72%-100%,-1053
BO5-BO,0%-7%,-1100
BO3,0%-7%,-1100
BO5-BO,73%-100%,-1108
BO5-BO3-BO,0%-11%,-1141
BO5-BO3-BO,77%-100%,-1181
BO5-BO3-BO,79%-100%,-1207
BO3,71%-100%,-1229
BO5-BO3-BO,0%-15%,-1247
BO5-BO3-BO,78%-100%,-1289
BO3,70%-100%,-1298
BO5-BO,72%-100%,-1312
BO5-BO,0%-49%,-1373
BO5-BO3-BO,75%-100%,-1384
BO5-BO,0%-8%,-1400
BO3,0%-8%,-1400
BO1,71%-100%,-1404
BO5-BO3-BO,0%-39%,-1439
BO5-BO,0%-45%,-1445
BO3,0%-50%,-1460
BO5-BO3-BO,0%-22%,-1471
BO5-BO,0%-48%,-1474
BO5-BO,0%-46%,-1513
BO1,64%-100%,-1517
BO5-BO3-BO,0%-19%,-1532
BO5-BO,0%-47%,-1581
BO5-BO,0%-44%,-1626
BO1,63%-100%,-1650
BO5-BO,71%-100%,-1655
BO5-BO,0%-42%,-1665
BO1,70%-100%,-1671
BO5-BO,0%-9%,-1700
BO3,0%-9%,-1700
BO5-BO,70%-100%,-1701
BO5-BO,0%-43%,-1704
BO1,65%-100%,-1708
BO5-BO3-BO,74%-100%,-1729
BO3,68%-100%,-1820
BO3,69%-100%,-1824
BO5-BO3-BO,0%-12%,-1837
BO1,68%-100%,-1837
